,company,file_no,opened,closed,coverage,sub_coverage,reason,sub_reason,disposition,conclusion,recovery,status,duration
484,Cigna Health and Life Insurance Company,7001645,3/25/2020,3/25/2020,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,0
488,Hartford Casualty Insurance Company,7050487,1/3/2023,1/25/2023,Homeowners,Hazard,Underwriting,Nonrenewal,Company Position Substantiated,Non&ndash;Renewal Upheld,0,Closed,22
497,RepWest Insurance Company,7052502,3/10/2023,3/20/2023,General,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,10
502,"Anthem Health Plans, Inc",7045487,5/24/2022,6/10/2022,Group,Health Only,Claim Handling,Coordination of Benefit,Company Position Substantiated,Justified,2359.34,Closed,17
503,"ConnectiCare Benefits, Inc.",7045506,5/25/2022,6/10/2022,A & H,Exchange,PolicyHolder Service,Policy Service Other,Company Position Overturned,Voluntary Reconsideration,262.62,Closed,16
504,"Anthem Health Plans, Inc",7044660,4/25/2022,6/10/2022,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,46
506,UnitedHealthcare Insurance Company,7045327,5/18/2022,6/10/2022,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,231,Closed,23
508,Utica First Insurance Company,7053384,4/12/2023,5/2/2023,Homeowners,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,20
512,"Cigna HealthCare of Connecticut, Inc",7045773,6/9/2022,6/10/2022,Individual,Medicare Prescription Drug/Part D,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,1
528,Cigna Health and Life Insurance Company,7045548,5/27/2022,6/10/2022,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,14
535,Hartford Underwriters Insurance Company,7040811,11/11/2021,6/10/2022,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Company Position Upheld,0,Closed,211
536,ACE American Insurance Company,7049282,11/10/2022,12/14/2022,Homeowners,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,34
540,"Anthem Health Plans, Inc",7049229,11/8/2022,12/14/2022,Group,Health Only,Claim Handling,Medical Necessity,Company Position Substantiated,Coverage Denied,0,Closed,36
547,Cigna Health and Life Insurance Company,7000708,2/24/2020,2/25/2020,Individual,Medicare Supplement(Policies or Certs),PolicyHolder Service,Delays/No Response,Company Position Substantiated,No Action Necessary,0,Closed,1
550,Massachusetts Bay Insurance Company,7049768,11/30/2022,12/14/2022,Homeowners,Liability,Underwriting,Non&ndash;Renewal,Company Position Substantiated,Non&ndash;Renewal Upheld,0,Closed,14
563,United States Fire Insurance Company,7050801,1/17/2023,3/20/2023,Travel,Liability,Claim Handling,Claim Denial,Claim Settled,Company Position Upheld,0,Closed,62
569,Nationwide Mutual Insurance Company,7051235,1/30/2023,3/20/2023,Travel,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Claim Settled,Questionable,9787,Closed,49
574,Transamerica Life Insurance Company,7045401,5/20/2022,6/10/2022,Individual Life,Term,Marketing & Sales,No Coverage/Premium Paid,No Action Requested/Required,Policy Restored/Reinstated,0,Closed,21
585,Indemnity Insurance Company of North America,7041570,12/20/2021,6/10/2022,Individual Private Passenger,Liability,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,172
590,"Anthem Health Plans, Inc",7050036,12/12/2022,12/14/2022,Individual,A & H,Claim Handling,Medical Necessity,Company Position Overturned,Coverage Granted,0,Closed,2
591,Twin City Fire Insurance Company,7054502,5/22/2023,6/15/2023,Commercial Multi&ndash;Peril,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,24
598,Cigna Health and Life Insurance Company,7005454,1/13/2021,3/10/2021,Group,Health Only,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Justified,1734.33,Closed,56
601,Empower Annuity Insurance Company,7043896,3/22/2022,4/26/2022,Individual Annuities,Fixed,Marketing & Sales,Summary of Benefits,Company Position Substantiated,Contract Provision,0,Closed,35
603,Cigna Health and Life Insurance Company,7042660,2/3/2022,4/11/2022,A & H,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,320,Closed,67
607,Cigna Health and Life Insurance Company,7043420,3/1/2022,4/4/2022,Group,Dental,Claim Handling,Coordination of Benefit,Claim Settled,Claim Paid With Interest,0,Closed,34
610,Cigna Health and Life Insurance Company,7041344,12/8/2021,1/12/2022,A & H,Medicare,Underwriting,Cancellation,Company Position Substantiated,Premium Refund,504.78,Closed,35
615,Cigna Health and Life Insurance Company,7042396,1/25/2022,3/25/2022,A & H,A & H,Claim Handling,Provider Contract Issue,Company Position Substantiated,Company Position Upheld,0,Closed,59
621,"Anthem Health Plans, Inc",7050637,1/9/2023,1/25/2023,Individual,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,External Review Info Sent,0,Closed,16
622,"ConnectiCare Benefits, Inc.",7044965,5/6/2022,6/13/2022,Individual,Exchange,Underwriting,Cancellation,Company Position Substantiated,Furnished Information,0,Closed,38
625,Cigna Health and Life Insurance Company,7041679,12/23/2021,1/27/2022,Group,Health Only,Claim Handling,Network Adequacy,Company Position Substantiated,Furnished Information,0,Closed,35
630,"Anthem Health Plans, Inc",7053129,4/3/2023,5/3/2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Company Position Substantiated,Provider Issue,600.51,Closed,30
631,ConnectiCare Inc,7045136,5/12/2022,6/13/2022,Group,Prescription,Claim Handling,Claim Procedure,Company Position Substantiated,Furnished Information,0,Closed,32
632,Cigna Health and Life Insurance Company,7042560,2/1/2022,3/2/2022,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,12011,Closed,29
634,Genworth Life Insurance Company,7045359,5/19/2022,6/13/2022,Individual,Long Term Care,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0,Closed,25
635,Transamerica Life Insurance Company,7053343,4/11/2023,5/3/2023,A & H,A & H,Claim Handling,Claim Delay,Company Position Substantiated,Furnished Information,5006.79,Closed,22
636,"ConnectiCare Benefits, Inc.",7053142,4/4/2023,5/3/2023,Individual,Health Only,Claim Handling,Medical Necessity Denial,Company Position Substantiated,Coverage Granted,0,Closed,29
637,"Anthem Health Plans, Inc",7045260,5/17/2022,6/13/2022,A & H,Health Only,Claim Handling,Eligibility of Provider,Company Position Substantiated,Company Position Upheld,0,Closed,27
645,Cigna Health and Life Insurance Company,7041241,12/2/2021,1/3/2022,A & H,A & H,Claim Handling,Claim Procedure,Claim Settled,Claim Paid,303.36,Closed,32
647,"WellCare of Connecticut, Inc.",7045044,5/10/2022,6/13/2022,Individual,Medicare Advantage,Marketing & Sales,Producer Handling,Company Position Substantiated,Company Position Upheld,0,Closed,34
652,Cigna Health and Life Insurance Company,7041753,12/29/2021,1/18/2022,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,1181,Closed,20
661,"Anthem Health Plans, Inc",7053405,4/13/2023,5/3/2023,Group,Health Only,PolicyHolder Service,Credentialing Delay,Company Position Substantiated,Provider Issue,0,Closed,20
666,Cigna Health and Life Insurance Company,7042381,1/25/2022,3/17/2022,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,51
669,"Anthem Health Plans, Inc",7052003,2/23/2023,5/3/2023,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid With Interest,3826.7,Closed,69
672,"Anthem Health Plans, Inc",7052995,3/28/2023,5/3/2023,A & H,Health Only,Claim Handling,Provider Contract Issue,Claim Settled,Provider Issue,3743.34,Closed,36
676,Fidelity National Title Insurance Company,7052911,3/27/2023,5/3/2023,Homeowners,Hazard,Claim Handling,Adjuster Handling,Company Position Substantiated,Company Position Upheld,0,Closed,37
682,American Pet Insurance Company,7046756,7/25/2022,1/25/2023,Pet Insurance,Liability,Claim Handling,Claim Delays,Claim Settled,Claim Paid,0,Closed,184
684,"Anthem Health Plans, Inc",7053319,4/11/2023,5/3/2023,Group,Health Only,Claim Handling,Provider Contract Issue,Company Position Overturned,Provider Issue,0,Closed,22
693,Brighthouse Life Insurance Company,7049829,12/1/2022,5/3/2023,Individual Annuities,Fixed,PolicyHolder Service,Policy Service Delay by Insurer,Compromised Settlement/Resolution,Furnished Information,0,Closed,153
696,Cigna Health and Life Insurance Company,7043492,3/3/2022,4/12/2022,A & H,A & H,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,40
698,GEICO General Insurance Company,7054257,5/12/2023,6/15/2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Company Position Upheld,0,Closed,34
699,Allstate Fire and Casualty Insurance Company,7052173,3/1/2023,3/21/2023,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,20
705,Cigna Health and Life Insurance Company,7041921,1/6/2022,2/22/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,47
707,Cigna Health and Life Insurance Company,7042148,1/18/2022,1/18/2022,Individual Private Passenger,Liability,Claim Handling,Mental Health Parity,Company Position Substantiated,Company Position Upheld,0,Closed,0
708,Cigna Health and Life Insurance Company,7040927,11/16/2021,12/28/2021,A & H,A & H,Claim Handling,Denial,Claim Settled,Claim Paid,1627.79,Closed,42
712,Empower Annuity Insurance Company,7018362,12/11/2019,12/31/2019,Individual Annuities,Liability,PolicyHolder Service,Delays/No Response,Company Position Substantiated,Corrective Action,0,Closed,20
715,"Anthem Health Plans, Inc",7052725,3/17/2023,3/21/2023,Group,Health Only,Claim Handling,Provider Contract Issue,Company Position Substantiated,Furnished Information,0,Closed,4
716,Homesite Insurance Company,7051401,2/3/2023,3/21/2023,Homeowners,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Corrective Action,0,Closed,46
718,Essentia Insurance Company,7050796,1/17/2023,3/21/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delays,Company Position Substantiated,Corrective Action,6494.51,Closed,63
719,Cigna Health and Life Insurance Company,7041532,12/17/2021,12/22/2021,Individual Private Passenger,Liability,Claim Handling,Mental Health Parity,Company Position Substantiated,Company Position Upheld,0,Closed,5
720,Cigna Health and Life Insurance Company,7041150,11/26/2021,1/3/2022,A & H,A & H,Claim Handling,Denial,Company Position Substantiated,Company Position Upheld,0,Closed,38
722,Progressive Direct Insurance Company,7053425,4/14/2023,5/3/2023,Individual Private Passenger,Liability,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,19
728,LM Insurance Corporation,7052069,2/27/2023,3/21/2023,Workers&squo; Compensation,Liability,Underwriting,Audit Dispute,Company Position Substantiated,Company Position Upheld,0,Closed,22
729,Cigna Health and Life Insurance Company,7043654,3/9/2022,4/21/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,43
731,"Anthem Health Plans, Inc",7043994,3/28/2022,6/14/2022,Group,Health Only,Claim Handling,Eligibility of Provider,Company Position Overturned,Company Position Upheld,112,Closed,78
732,"ConnectiCare Insurance Company, Inc",7045182,5/13/2022,6/14/2022,A & H,A & H,PolicyHolder Service,Notice Requirements,Company Position Substantiated,Corrective Action,0,Closed,32
733,Ohio Mutual Insurance Company,7052476,3/10/2023,3/21/2023,Individual Private Passenger,Liability,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Additional Money Received,310,Closed,11
734,Citizens Insurance Company of America,7045312,5/18/2022,6/14/2022,Commercial Multi&ndash;Peril,Liability,Claim Handling,Adjuster Handling,Company Position Substantiated,Corrective Action,169917.33,Closed,27
736,Property and Casualty Insurance Company of Hartford,7052095,2/27/2023,3/21/2023,Homeowners,Hazard,Claim Handling,Unsatisfactory Settlement/Offer,Company Position Substantiated,Refer To Appraisal,0,Closed,22
739,"ConnectiCare Benefits, Inc.",7045316,5/18/2022,6/14/2022,Individual,Health Only,Marketing & Sales,No Coverage/Premium Paid,Company Position Overturned,Policy Restored/Reinstated,0,Closed,27
740,Cigna Health and Life Insurance Company,7043036,2/15/2022,5/10/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,84
745,Travelers Personal Insurance Company,7052590,3/14/2023,3/21/2023,Homeowners,Liability,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,7
748,"Anthem Health Plans, Inc",7045440,5/23/2022,6/14/2022,A & H,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Company Position Upheld,0,Closed,22
758,"ConnectiCare Insurance Company, Inc",7045292,5/17/2022,6/14/2022,A & H,Health Only,Claim Handling,Denial,Claim Settled,Claim Paid,1978.62,Closed,28
763,Commerce Insurance Company (The),7053178,4/4/2023,5/3/2023,Individual Private Passenger,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Refer&ndash;Judicial/Attorney,0,Closed,29
764,Cigna Health and Life Insurance Company,7044184,4/5/2022,5/3/2022,A & H,A & H,Claim Handling,Claim Delays,Claim Settled,Claim Paid,51.02,Closed,28
766,CSAA Affinity Insurance Company,7051119,1/24/2023,3/21/2023,Individual Private Passenger,Liability,Claim Handling,Claim Delay,Company Position Substantiated,Company Position Upheld,0,Closed,56
767,"Anthem Health Plans, Inc",7051750,2/15/2023,3/21/2023,A & H,Liability,Claim Handling,Provider Contract Issue,Company Position Overturned,Company Position Upheld,3076.92,Closed,34
779,Liberty Mutual Fire Insurance Company,7045399,5/20/2022,6/15/2022,Homeowners,Liability,PolicyHolder Service,Premium/Notice,Company Position Substantiated,Justified,0,Closed,26
780,Transamerica Life Insurance Company,7043335,2/24/2022,6/15/2022,Individual,A & H,PolicyHolder Service,Policy Information,Company Position Substantiated,Furnished Information,0,Closed,111
788,"Anthem Health Plans, Inc",7045701,6/6/2022,6/15/2022,Group,Health Only,Claim Handling,UR MEDICALLY NECESSARY DENIAL,Company Position Substantiated,Furnished Information,0,Closed,9
798,Evanston Insurance Company,7052571,3/13/2023,5/3/2023,Homeowners,Surplus Lines,PolicyHolder Service,Premium Notice/Billing,Company Position Substantiated,Company Position Upheld,0,Closed,51
799,Transamerica Life Insurance Company,7053696,4/25/2023,6/16/2023,Individual,Long Term Care,Claim Handling,Claim Delay,Company Position Substantiated,Claim Paid,0,Closed,52
800,Standard Fire Insurance Company (The),7051915,2/21/2023,3/21/2023,Homeowners,Hazard,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Company Position Upheld,0,Closed,28
802,NGM Insurance Company,7048538,10/11/2022,11/1/2022,Homeowners,Liability,Claim Handling,Claim Denial,Company Position Substantiated,Company Position Upheld,0,Closed,21
803,Cigna Health and Life Insurance Company,7055131,6/14/2023,6/16/2023,A & H,A & H,Claim Handling,External Review,Company Position Substantiated,Company Position Upheld,0,Closed,2
804,Allstate Insurance Company,7049865,12/5/2022,3/21/2023,Individual Private Passenger,Collision,Claim Handling,Adjuster Handling,Company Position Substantiated,Enter Arbitration,0,Closed,106
808,"ConnectiCare Insurance Company, Inc",7054344,5/16/2023,6/16/2023,Individual,Health Only,Claim Handling,Claim Denial,Question of Fact/Contract/Provision/Legal Issue,Contract Provision,0,Closed,31
810,"ConnectiCare Benefits, Inc.",7042333,1/24/2022,2/14/2022,Individual,Exchange,Marketing & Sales,No Coverage/Premium Paid,Company Position Substantiated,Policy Restored/Reinstated,0,Closed,21
